imdbId,title,overview,genres,keywords,cast,director,voteAverage,voteCount,popularity,releaseDate,year,runtime,tagline,search_content,tmdbId,posterPath,backdropPath,homepage,status
tt3359290,Bobby Jasoos,Bobby Jasoos starring Vidya Balan  is a film that celebrates the aspiration of Bobby  who wants to become the number one detective in the old city area of Hyderabad. The film is directed by...                    ,"['Comedy', 'Drama', 'Thriller']",[],"['Vidya Balan', 'Ali Fazal']",Samar Shaikh,5.5,1922.0,0.4299,4 July 2014 (India),2014,121,,"Bobby Jasoos Bobby Jasoos starring Vidya Balan  is a film that celebrates the aspiration of Bobby  who wants to become the number one detective in the old city area of Hyderabad. The film is directed by...                      Genres: ['Comedy', 'Drama', 'Thriller'] Cast: ['Vidya Balan', 'Ali Fazal'] Director: Samar Shaikh",272420.0,/pJrV232nBTrRO5Zgz2Vj9LjMtR2.jpg,/peablWxLLhbbxhvrX8aFAjPIGSd.jpg,,Released
tt3036740,Humshakals,A comedy centered around three people who each have a lookalike of a lookalike  all with the same name.,['Comedy'],[],"['Saif Ali Khan', 'Riteish Deshmukh', 'Ram Kapoor', 'Bipasha Basu', 'Tamannaah Bhatia', 'Esha Gupta', 'Satish Shah', 'Nawab Shah', 'Chunky Pandey']",Sajid Khan,1.8,7216.0,0.5999,20 June 2014 (India),2014,159,3x3 equals| 9 times the fun,"Humshakals A comedy centered around three people who each have a lookalike of a lookalike  all with the same name. 3x3 equals| 9 times the fun Genres: ['Comedy'] Cast: ['Saif Ali Khan', 'Riteish Deshmukh', 'Ram Kapoor', 'Bipasha Basu', 'Tamannaah Bhatia', 'Esha Gupta', 'Satish Shah', 'Nawab Shah', 'Chunky Pandey'] Director: Sajid Khan",273505.0,/jl2BKSOuCH5g1a6Yt4FmbOujEe7.jpg,/x9mXPRYMaxDfmUrZWCKOe6Wgjee.jpg,,Released
tt3678938,Humpty Sharma Ki Dulhania,Two spoiled brats meet over the purchase of an expensive wedding skirt in Delhi. Thus begins a romance under the shadow of her arranged marriage.,"['Comedy', 'Drama', 'Romance']",[],"['Varun Dhawan', 'Alia Bhatt', 'Ashutosh Rana', 'Sidharth Shukla', 'Sahil Vaid', 'Gaurav Pandey', 'Jaswant Daman', 'Kenneth Desai', 'Deepika Amin', 'Mahnaz Damania', 'Aditya Sharma', 'Arshpreet', 'Ashish Bhargava', 'Balbir']",Shashank Khaitan,6.0,10065.0,1.2485,11 July 2014 (India),2014,133,,"Humpty Sharma Ki Dulhania Two spoiled brats meet over the purchase of an expensive wedding skirt in Delhi. Thus begins a romance under the shadow of her arranged marriage.  Genres: ['Comedy', 'Drama', 'Romance'] Cast: ['Varun Dhawan', 'Alia Bhatt', 'Ashutosh Rana', 'Sidharth Shukla', 'Sahil Vaid', 'Gaurav Pandey', 'Jaswant Daman', 'Kenneth Desai', 'Deepika Amin', 'Mahnaz Damania', 'Aditya Sharma', 'Arshpreet', 'Ashish Bhargava', 'Balbir'] Director: Shashank Khaitan",276928.0,/kiqZEW6ZmFducXGeikKI5WcQZEI.jpg,/euUO9ClaSRY7zJLzC1fjO8iwpHR.jpg,,Released
tt3619772,Hate Story 2,A woman takes revenge on a powerful corrupt politician who forcefully abused her and left her for dead.,"['Drama', 'Thriller']",[],"['Jay Bhanushali', 'Surveen Chawla', 'Sushant Singh', 'Siddharth Kher', 'Neha Kaul', 'Shashank Shende', 'Pavitra Sarkar', 'Bikramjeet Kanwarpal', 'Yashahlawat', 'Vijay Singh', 'Ashok Beniwal', 'Akshata Ganesh Amita', 'Daya Yadav', 'Manish Chaturvedi']",Vishal Pandya,4.4,1903.0,0.8144,18 July 2014 (India),2014,130,Back with a vengeance...,"Hate Story 2 A woman takes revenge on a powerful corrupt politician who forcefully abused her and left her for dead. Back with a vengeance... Genres: ['Drama', 'Thriller'] Cast: ['Jay Bhanushali', 'Surveen Chawla', 'Sushant Singh', 'Siddharth Kher', 'Neha Kaul', 'Shashank Shende', 'Pavitra Sarkar', 'Bikramjeet Kanwarpal', 'Yashahlawat', 'Vijay Singh', 'Ashok Beniwal', 'Akshata Ganesh Amita', 'Daya Yadav', 'Manish Chaturvedi'] Director: Vishal Pandya",282346.0,/y5fg6O5ttxvh2wkMY1fUchLfZSL.jpg,/g10Una7eItPscUaNg9lRRnGk6Jf.jpg,,Released
tt3716142,Lekar Hum Deewana Dil,The story of Dinoo and Karishma  who decide to get married in Goa and head to more interior parts of the country fearing that the girl's parents may get her married to a guy of their choice...                    ,"['Comedy', 'Romance']",[],"['Armaan Jain', 'Deeksha Seth']",Arif Ali,4.9,653.0,0.2449,4 July 2014 (India),2014,140,,"Lekar Hum Deewana Dil The story of Dinoo and Karishma  who decide to get married in Goa and head to more interior parts of the country fearing that the girl's parents may get her married to a guy of their choice...                      Genres: ['Comedy', 'Romance'] Cast: ['Armaan Jain', 'Deeksha Seth'] Director: Arif Ali",279871.0,/hQfhMxdrbcZxzA5ieaPL1lMZOcu.jpg,/8JGLwu0jGFp7OnOvhrlq550ECKo.jpg,,Released
tt2283894,Riyasat (film),Riyasat is a story about the much loved Sahab played by the late Rajesh Khanna. Sahab has ruled for many years and has established his kingdom. People look up to him for everything. He has ...                    ,['Crime'],[],"['Rajesh Khanna', 'Aryeman Ramsay', 'Raza Murad', 'Aryan Vaid', 'Vishwajeet Pradhan']",Ashok Tyagi,6.5,39.0,0.203,18 July 2014 (India),2014,80,,"Riyasat (film) Riyasat is a story about the much loved Sahab played by the late Rajesh Khanna. Sahab has ruled for many years and has established his kingdom. People look up to him for everything. He has ...                      Genres: ['Crime'] Cast: ['Rajesh Khanna', 'Aryeman Ramsay', 'Raza Murad', 'Aryan Vaid', 'Vishwajeet Pradhan'] Director: Ashok Tyagi",495599.0,/19qeZ3pcqoqAMCuMUlzhQCsSbXl.jpg,,,Released
tt3822600,Amit Sahni Ki List,Amit sahani is an investment banker  single and ready to mingle. Mala is a free spirit who takes life as it comes. When Amit meets Mala sparks fly even though Mala is against all odds not ...                    ,"['Comedy', 'Romance']",[],"['Vir Das', 'Vega Tamotia', 'Anindita Nayar', 'Kavi Shastri', 'Micky Makhija', 'Ashok Nagpaul', 'Khalida Khan', 'Ntasha Bhardwaj', 'Pooja Ruparel', 'Duboree Das', 'Manju Bhuyan', 'Suhani Bachan', 'Surabhi Gandhi', 'Sherryl Wiltshire']",Ajay Bhuyan,5.5,329.0,0.1755,18 July 2014 (India),2014,110,,"Amit Sahni Ki List Amit sahani is an investment banker  single and ready to mingle. Mala is a free spirit who takes life as it comes. When Amit meets Mala sparks fly even though Mala is against all odds not ...                      Genres: ['Comedy', 'Romance'] Cast: ['Vir Das', 'Vega Tamotia', 'Anindita Nayar', 'Kavi Shastri', 'Micky Makhija', 'Ashok Nagpaul', 'Khalida Khan', 'Ntasha Bhardwaj', 'Pooja Ruparel', 'Duboree Das', 'Manju Bhuyan', 'Suhani Bachan', 'Surabhi Gandhi', 'Sherryl Wiltshire'] Director: Ajay Bhuyan",283311.0,/vDKO5w1VCnwE2ZHaEZUbZZSAIPE.jpg,/8FAIEL3ca9yEtZX7Gb7pWIN4zEz.jpg,http://amitsahnikilist.com/,Released
tt2556308,Holiday: A Soldier Is Never Off Duty,A military officer uses his intellect and fighting skills to hunt and knock down a terrorist aiming to rip apart Mumbai via the sleeper cells under his command.,"['Action', 'Thriller']",[],"['Akshay Kumar', 'Sonakshi Sinha', 'Freddy Daruwala', 'Sumeet Raghvan', 'Zakir Hussain', 'Govinda', 'Premnath Gulati', 'Cherry Mardia', 'Apoorva Arora', 'Gireesh Sahedev', 'Rajiv Kachroo', 'Randheer Rai', 'Prayas Mann', 'Aartii Naagpal']",A.R. Murugadoss,7.2,23733.0,1.1238,6 June 2014 (India),2014,160,A Soldier is never off duty.,"Holiday: A Soldier Is Never Off Duty A military officer uses his intellect and fighting skills to hunt and knock down a terrorist aiming to rip apart Mumbai via the sleeper cells under his command. A Soldier is never off duty. Genres: ['Action', 'Thriller'] Cast: ['Akshay Kumar', 'Sonakshi Sinha', 'Freddy Daruwala', 'Sumeet Raghvan', 'Zakir Hussain', 'Govinda', 'Premnath Gulati', 'Cherry Mardia', 'Apoorva Arora', 'Gireesh Sahedev', 'Rajiv Kachroo', 'Randheer Rai', 'Prayas Mann', 'Aartii Naagpal'] Director: A.R. Murugadoss",273886.0,/8aPPza9BHumJYl0KAABmOdFbUjm.jpg,/yVutrd9pthp5XvhlV0lGleOt0Nd.jpg,,Released
tt3683702,Fugly (film),Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.,"['Drama', 'Thriller']",[],"['Jimmy Sheirgill', 'Mohit Marwah', 'Kiara Advani', 'Vijender Singh', 'Arfi Lamba', 'Anshuman Jha', 'Kunickaa Sadanand', 'Sana Saeed']",Kabir Sadanand,4.7,931.0,0.5175,13 June 2014 (India),2014,134,,"Fugly (film) Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.  Genres: ['Drama', 'Thriller'] Cast: ['Jimmy Sheirgill', 'Mohit Marwah', 'Kiara Advani', 'Vijender Singh', 'Arfi Lamba', 'Anshuman Jha', 'Kunickaa Sadanand', 'Sana Saeed'] Director: Kabir Sadanand",281730.0,/gK1d772yMqHjvBpMRVz1XWN5OTU.jpg,,,Released
tt3854246,Bazaar E Husn,Bazaar-e-Husn is a film based on Munshi Premchand's novel Bazaar E Husn. The story revolves around Suman  a courtesan. Brought up by an honest Police Inspector  Suman's life goes through ...                    ,['Drama'],[],"['Reshmi Ghosh', 'Jeet Goswami', 'Om Puri', 'Rajeshwari Sachdev', 'Virendra Saxena', 'Yashpal Sharma', 'Upasna Singh']",Ajay Mehra,5.0,12.0,0.0634,18 July 2014 (India),2014,125,,"Bazaar E Husn Bazaar-e-Husn is a film based on Munshi Premchand's novel Bazaar E Husn. The story revolves around Suman  a courtesan. Brought up by an honest Police Inspector  Suman's life goes through ...                      Genres: ['Drama'] Cast: ['Reshmi Ghosh', 'Jeet Goswami', 'Om Puri', 'Rajeshwari Sachdev', 'Virendra Saxena', 'Yashpal Sharma', 'Upasna Singh'] Director: Ajay Mehra",713215.0,/ikNVmen967j6eAOWKyH30wCyv8X.jpg,,,Released
